frame_index,target_id,bbox_left,bbox_top,bbox_width,bbox_height,score,object_category,time
1,1,446.797,249.602,141.606,141.602,1,1,0.033
2,1,446.797,238.802,141.606,141.602,1,1,0.067
3,1,446.797,227.398,141.606,141.602,1,1,0.100
4,1,446.797,223.200,141.606,141.602,1,1,0.133
5,1,443.802,219.600,141.606,141.602,1,1,0.167
6,1,443.200,203.602,141.606,141.602,1,1,0.200
7,1,444.698,191.498,141.606,141.602,1,1,0.233
8,1,446.195,193.399,141.606,141.602,1,1,0.267
9,1,443.200,169.200,141.606,141.602,1,1,0.300
10,1,444.595,167.602,137.600,136.598,1,1,0.333
11,1,443.597,169.200,137.600,136.598,1,1,0.367
12,1,439.603,144.403,141.606,141.602,1,1,0.400
13,1,441.600,141.199,141.606,141.602,1,1,0.433
14,1,445.594,144.403,132.595,137.599,1,1,0.467
15,1,443.597,123.602,141.606,141.602,1,1,0.500
16,1,439.603,118.397,141.606,141.602,1,1,0.533
17,1,439.603,114.199,141.606,141.602,1,1,0.567
18,1,439.603,92.902,141.594,141.602,1,1,0.600
19,1,441.600,88.603,141.594,141.602,1,1,0.633
20,1,437.402,83.398,141.594,141.602,1,1,0.667
21,1,440.499,69.898,141.594,141.602,1,1,0.700
22,1,441.600,67.399,141.594,141.602,1,1,0.733
23,1,441.805,64.800,141.594,141.602,1,1,0.767
24,1,441.805,51.602,141.594,141.602,1,1,0.800
25,1,441.997,37.001,141.594,141.602,1,1,0.833
26,1,438.400,39.002,141.594,141.602,1,1,0.867
27,1,438.400,39.002,141.594,120.600,1,1,0.900
28,1,438.400,20.002,141.594,120.600,1,1,0.933
29,1,438.899,10.498,141.594,131.602,1,1,0.967
30,1,439.398,1.001,141.594,120.600,1,1,1.000
31,1,441.702,1.001,139.302,113.702,1,1,1.033
31,2,276.403,635.803,181.197,83.203,1,1,1.033
32,1,443.994,1.001,136.998,106.798,1,1,1.067
32,2,276.403,647.798,181.197,71.201,1,1,1.067
33,1,442.138,1.001,138.867,98.402,1,1,1.100
33,2,265.395,623.002,185.395,95.998,1,1,1.100
34,1,440.269,1.001,140.736,95.998,1,1,1.133
34,2,276.403,624.197,167.603,94.802,1,1,1.133
35,1,438.400,1.001,142.605,93.600,1,1,1.167
35,2,276.198,635.803,171.597,83.203,1,1,1.167
36,1,438.400,1.001,142.605,81.598,1,1,1.200
36,2,282.394,612.799,162.598,106.200,1,1,1.200
37,1,438.400,1.001,142.605,73.598,1,1,1.233
37,2,276.403,598.802,167.603,120.197,1,1,1.233
38,1,438.400,1.001,142.605,64.937,1,1,1.267
38,2,284.198,600.797,160.602,118.202,1,1,1.267
39,1,438.400,1.001,142.605,53.770,1,1,1.300
39,2,285.798,583.798,156.595,135.202,1,1,1.300
40,1,438.400,1.001,142.605,50.602,1,1,1.333
40,2,279.002,567.799,171.597,151.200,1,1,1.333
41,2,279.002,567.799,171.597,151.200,1,1,1.367
42,2,279.002,563.602,171.597,151.200,1,1,1.400
43,2,280.000,550.397,171.597,151.200,1,1,1.433
44,2,272.998,554.803,171.597,151.200,1,1,1.467
45,2,273.805,537.401,171.597,151.200,1,1,1.500
46,2,274.803,530.798,171.597,151.200,1,1,1.533
47,2,269.005,528.797,171.597,151.200,1,1,1.567
48,2,272.000,511.999,171.597,151.200,1,1,1.600
49,2,271.002,501.602,171.597,151.200,1,1,1.633
50,2,281.997,497.801,171.597,151.200,1,1,1.667
51,2,284.198,482.400,171.597,151.200,1,1,1.700
52,2,282.394,478.202,171.597,151.200,1,1,1.733
53,2,277.798,474.199,171.597,151.200,1,1,1.767
54,2,270.797,456.797,171.597,151.200,1,1,1.800
55,2,277.798,446.803,171.597,151.200,1,1,1.833
56,2,268.800,445.802,171.597,151.200,1,1,1.867
57,2,273.600,427.198,171.597,151.200,1,1,1.900
58,2,275.597,421.999,171.597,151.200,1,1,1.933
59,2,277.197,424.102,171.597,151.200,1,1,1.967
60,2,269.798,407.203,171.597,151.200,1,1,2.000
61,2,277.402,393.797,171.597,151.200,1,1,2.033
62,2,277.402,399.002,171.597,151.200,1,1,2.067
63,2,274.394,375.602,171.597,151.200,1,1,2.100
63,3,319.002,640.001,138.995,78.998,1,1,2.100
64,2,271.398,369.403,171.597,151.200,1,1,2.133
64,3,320.755,632.750,134.003,86.249,1,1,2.133
65,2,274.394,369.000,171.597,151.200,1,1,2.167
65,3,322.496,629.503,133.837,89.503,1,1,2.167
66,2,273.997,349.999,171.597,151.200,1,1,2.200
66,3,324.250,618.250,133.670,100.750,1,1,2.200
67,2,263.002,344.599,171.597,151.200,1,1,2.233
