Frame: 1, Time: 00:00:02, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 2, Time: 00:00:02, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 3, Time: 00:00:02, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 4, Time: 00:00:02, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 5, Time: 00:00:03, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 6, Time: 00:00:03, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 7, Time: 00:00:03, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 8, Time: 00:00:03, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 9, Time: 00:00:03, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 10, Time: 00:00:03, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 11, Time: 00:00:03, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 12, Time: 00:00:03, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 13, Time: 00:00:04, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 14, Time: 00:00:04, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 15, Time: 00:00:04, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 16, Time: 00:00:04, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 17, Time: 00:00:04, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 18, Time: 00:00:04, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 19, Time: 00:00:04, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 20, Time: 00:00:04, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 21, Time: 00:00:04, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 22, Time: 00:00:05, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 23, Time: 00:00:05, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 24, Time: 00:00:05, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 25, Time: 00:00:05, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 26, Time: 00:00:05, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 2, 'Undefined': 0}
Frame: 27, Time: 00:00:05, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 28, Time: 00:00:05, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 29, Time: 00:00:05, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 30, Time: 00:00:05, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 31, Time: 00:00:06, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 32, Time: 00:00:06, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 33, Time: 00:00:06, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 34, Time: 00:00:06, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 35, Time: 00:00:06, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 36, Time: 00:00:06, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 37, Time: 00:00:06, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 38, Time: 00:00:06, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 39, Time: 00:00:07, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 40, Time: 00:00:07, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 41, Time: 00:00:07, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 42, Time: 00:00:07, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 43, Time: 00:00:07, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 44, Time: 00:00:07, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 3, 'Undefined': 0}
Frame: 45, Time: 00:00:07, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 4, 'Undefined': 0}
Frame: 46, Time: 00:00:07, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 4, 'Undefined': 0}
Frame: 47, Time: 00:00:07, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 5, 'Undefined': 0}
Frame: 48, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 5, 'Undefined': 0}
Frame: 49, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 5, 'Undefined': 0}
Frame: 50, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 5, 'Undefined': 0}
Frame: 51, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 5, 'Undefined': 0}
Frame: 52, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 5, 'Undefined': 0}
Frame: 53, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 5, 'Undefined': 0}
Frame: 54, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 5, 'Extra Large': 5, 'Undefined': 0}
